MONTH,TIME EVENT BEGAN,TIME OF RESTORATION,AREA AFFECTED,NERC REGION,ALERT CRITERIA,EVENT TYPE,DEMAND LOSS (MW),NUMBER OF CUSTOMERS AFFECTED,STATE
January,1/29/2002 16:00,1/29/2002 19:30,Metropolitan Kansas City Area,MRO,Unkown,Severe Weather - Winter/Snow/Ice,600,270000,Kansas
January,1/30/2002 6:00,1/30/2002 12:00,Oklahoma,MRO,Unknown,Severe Weather - Winter/Snow/Ice,500,1881134,Oklahoma
January,1/30/2002 16:00,1/30/2002 21:00,Missouri,MRO,Unknown,Severe Weather - Winter/Snow/Ice,210,95000,Missouri
February,2/27/2002 10:48,2/27/2002 11:35,California,WECC,Unknown,Unknown/Unspecified,300,255000,California
March,3/9/2002 0:00,3/9/2002 12:00,Lower Peninsula of Michigan,RF,Unknown,Severe Weather - Unspecified/Other,190,190000,Michigan
April,4/8/2002 15:00,4/8/2002 18:30,Arizona,WECC,Unknown,Physical Attack/Vandalism,0,0,Arizona
July,7/9/2002 12:27,7/9/2002 19:54,California,WECC,Unknown,Unknown/Unspecified,240,1,California
July,7/19/2002 11:51,7/19/2002 16:30,California,WECC,Unknown,Equipment Failure,240,1,California
July,7/20/2002 12:40,7/20/2002 20:12,New York,NPCC,Unknown,Fire/Wildfire,278,63500,New York
August,8/2/2002 12:43,8/2/2002 18:36,Illinois,"RF,SERC",Unknown,Unknown/Unspecified,232,53565,Illinois
August,8/9/2002 8:23,8/9/2002 12:13,Florida,SERC,Unknown,Unknown/Unspecified,51,25000,Florida
August,8/25/2002 3:41,8/25/2002 9:17,California,WECC,Unknown,Unknown/Unspecified,120,1,California
August,8/28/2002 14:09,8/28/2002 15:38,Florida,SERC,Unknown,Severe Weather - Unspecified/Other,67.6,25000,Florida
October,10/3/2002 3:33,10/3/2002 7:03,Coastal Areas of Southern Louisiana,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,420,242910,Louisiana
November,11/6/2002 22:00,11/7/2002 12:00,Northern and Central California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,270,939000,California
November,11/17/2002 6:00,11/17/2002 8:00,Northwest and North Central Connecticut,NPCC,Unknown,Severe Weather - Winter/Snow/Ice,0,224912,"New York,Connecticut"
November,11/17/2002 15:48,11/17/2002 19:18,"Northport, NY Norwalk, CT",NPCC,Unknown,Equipment Failure,0,0,"New York,Connecticut"
December,12/3/2002 18:30,12/3/2002 22:30,Arkansas,MRO,Unknown,Severe Weather - Winter/Snow/Ice,433,43000,Arkansas
December,12/11/2002 13:09,12/11/2002 22:00,Northern Virginia to Fredericksburg  Staunton to Harrisonburg,SERC,Unknown,Severe Weather - Winter/Snow/Ice,63,130000,Virginia
December,12/14/2002 11:00,12/14/2002 16:00,Northern and Central California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,180,1500000,California
December,12/19/2002 6:00,12/19/2002 17:00,Northern and Central California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,56,385000,California
December,12/25/2002 5:00,12/25/2002 17:00,Eastern Pennsylvania,RF,Unknown,Severe Weather - Winter/Snow/Ice,309,95630,Pennsylvania
December,12/25/2002 8:30,12/25/2002 10:00,"Reading, York, Hanover, Hamburg Pennsylvania",RF,Unknown,Severe Weather - Winter/Snow/Ice,250,106000,Pennsylvania
July,7/21/2003 5:33,7/21/2003 17:15,Pennsylvania,RF,Unknown,Severe Weather - Unspecified/Other,1000,185000,Pennsylvania
July,7/28/2003 18:55,7/28/2003 20:35,Arizona,WECC,Unknown,Equipment Failure,440,90000,Arizona
August,8/14/2003 0:03,8/14/2003 16:10,New York State,NPCC,Unknown,Unknown/Unspecified,18500,166103,New York
August,8/14/2003 6:00,8/14/2003 16:10,"Northern New Jersey Erie, Pennsylvania  area",RF,Unknown,Unknown/Unspecified,1007,101000,Pennsylvania
August,8/14/2003 7:00,8/14/2003 16:09,Southeastern Michigan including all of Detroit,RF,Unknown,Unknown/Unspecified,11000,2100000,Michigan
August,8/14/2003 13:03,8/14/2003 16:09,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",RF,Unknown,Unknown/Unspecified,7000,1203000,Michigan
August,8/14/2003 15:00,8/14/2003 17:00,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,RF,Unknown,Unknown/Unspecified,2500,141419,"Michigan,Ohio"
August,8/14/2003 16:10,8/14/2003 20:27,"Northeast, Ohio",RF,Unknown,Unknown/Unspecified,922,840137,Ohio
August,8/14/2003 16:10,8/14/2003 19:00,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,NPCC,Unknown,Unknown/Unspecified,4500,148446,"Connecticut,Western,Massachusetts,Vermont"
August,8/14/2003 16:10,8/14/2003 23:48,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",NPCC,Unknown,Unknown/Unspecified,22934,166391,"New York,Ontario,Canada,Pennsylvania"
August,8/14/2003 16:11,8/14/2003 21:03,Entire Con Edison System (five boroughs of NYC and Westchester County),NPCC,Unknown,Unknown/Unspecified,11202,3125350,New York
August,8/26/2003 12:00,8/26/2003 16:00,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,625,133000,Maryland
August,8/26/2003 16:22,8/26/2003 18:00,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,1500,153000,"District of Columbia,Maryland"
September,9/7/2003 5:19,9/7/2003 18:00,Upper Michigan Peninsula,RF,Unknown,Equipment Failure,310,4,Michigan
September,9/18/2003 8:20,9/18/2003 22:42,"North Eastern North Carolina, Eastern Central , and Northern Virginia",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,6512,1800000,Virginia
September,9/18/2003 11:45,9/19/2003 0:00,Eastern North Carolina,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,1655,320000,North Carolina
September,9/18/2003 12:00,9/18/2003 22:50,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",RF,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,2000,650000,Maryland
September,9/18/2003 14:00,9/19/2003 0:00,"Maryland, West Virginia, Virginia and Pennsylvania","RF,SERC",Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,3085,237366,"Maryland,Virginia,West Virginia,Pennsylvania"
September,9/18/2003 15:32,9/18/2003 17:00,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,700,50000,North Carolina
